country,city,latitude,longitude,population,facility_type,scenario,temperature_c,wind_speed_m_s,solar_radiation_w_m2,precipitation_mm,humidity_pct,solar_capacity_mw,wind_capacity_mw,geothermal_capacity_mw,hydro_capacity_mw,initial_battery_state_mwh,battery_capacity_mwh,grid_support_mw,failure_ratios,simulation_interval_hours,demand_mw,renewable_supply_mw,battery_contribution_mw,battery_discharge_energy_mwh,battery_remaining_mwh,final_supply_mw,possible_energy_gap_mw,unmet_demand_ratio,system_performance_score_pct,external_support_need_proxy_pct,risk_tier
Finland,Helsinki,60.1699,24.9384,664000,Hospital,normal,5.0,8.0,250.0,30.0,75.0,40.0,30.0,10.0,20.0,20.0,20.0,0.0,"{""battery"": 0.0, ""geothermal"": 0.0, ""hydro"": 0.0, ""solar"": 0.0, ""wind"": 0.0}",1.0,29.77,32.12,0.0,0.0,20.0,32.12,0.0,0.0,100.0,0.0,Low
Finland,Helsinki,60.1699,24.9384,664000,Hospital,heat_wave,5.0,8.0,250.0,30.0,75.0,40.0,30.0,10.0,20.0,20.0,20.0,0.0,"{""battery"": 0.0, ""geothermal"": 0.0, ""hydro"": 0.0, ""solar"": 0.0, ""wind"": 0.0}",1.0,36.32,31.08,5.24,5.2353,14.56,36.32,0.0,0.0,100.0,0.0,Low
Finland,Helsinki,60.1699,24.9384,664000,Hospital,storm,5.0,8.0,250.0,30.0,75.0,40.0,30.0,10.0,20.0,20.0,20.0,0.0,"{""battery"": 0.0, ""geothermal"": 0.0, ""hydro"": 0.0, ""solar"": 0.0, ""wind"": 0.0}",1.0,32.75,32.07,0.68,0.6805,19.29,32.75,0.0,0.0,100.0,0.0,Low
Finland,Helsinki,60.1699,24.9384,664000,Hospital,cold_wave,5.0,8.0,250.0,30.0,75.0,40.0,30.0,10.0,20.0,20.0,20.0,0.0,"{""battery"": 0.0, ""geothermal"": 0.0, ""hydro"": 0.0, ""solar"": 0.0, ""wind"": 0.0}",1.0,35.13,29.88,5.25,5.2517,14.54,35.13,0.0,0.0,100.0,0.0,Low
Finland,Helsinki,60.1699,24.9384,664000,Hospital,blizzard,5.0,8.0,250.0,30.0,75.0,40.0,30.0,10.0,20.0,20.0,20.0,0.0,"{""battery"": 0.0, ""geothermal"": 0.0, ""hydro"": 0.0, ""solar"": 0.0, ""wind"": 0.0}",1.0,38.11,26.19,5.95,5.95,13.81,32.14,5.97,0.156672,84.33,15.67,Critical
Finland,Helsinki,60.1699,24.9384,664000,Hospital,typhoon,5.0,8.0,250.0,30.0,75.0,40.0,30.0,10.0,20.0,20.0,20.0,0.0,"{""battery"": 0.0, ""geothermal"": 0.0, ""hydro"": 0.0, ""solar"": 0.0, ""wind"": 0.0}",1.0,34.24,23.59,5.74,5.74,14.03,29.33,4.91,0.143311,85.67,14.33,High
